,towns,lon,lat
291,"Brooks, Maine",-69.120873,44.5503501
292,"Brooks, Massachusetts",-70.8393556,42.551381
293,"Brooksfield, Massachusetts",-72.1022991,42.2139817
294,"Brooksville, Maine",-68.6847872,44.3469906
295,"Brooksville, Massachusetts",-71.3824374,42.4072107
296,"Broome, New York",-75.8533954,42.1791865
297,"Browington, Vermont",-72.1348097,44.8266615
298,"Brownfield, Maine",-70.9086768,43.9381275
299,"Brownfield, Massachusetts",-71.0112479,41.9684386
300,"Brownington, Vermont",-72.1348097,44.8266615
301,"Brownsville, Illinois",-88.242737,38.038654
302,"Brownsville, New York",-73.9095279,40.66308
303,"Brownsville, Pennsylvania",-79.8839357,40.0236854
304,"Brownville, Maine",-69.03339,45.3070685
305,"Brownville, New York",-75.9840923,44.0070026
306,"Brunerstown, Kentucky",-85.2835377,38.1911147
307,"Brunswick, Maine",-69.9669961,43.9140162
308,"Brunswick, Massachusetts",-69.9619281,43.9096758
309,"Brunswick, New York",-73.5615043,42.7359115
310,"Brunswick, Vermont",-71.6749551,44.7281752
311,"Brutus, New York",-76.5257007,43.0498095
312,"Buckey's Town (East), Maryland",-76.6412712,39.0457549
313,"Buckey's Town West, Maryland",-77.4322927,39.3324585
314,"Buckey's Town, Maryland",-77.4322927,39.3324585
315,"Buckey's-town (West), Maryland",-77.4322927,39.3324585
316,"Buckey's-town, Maryland",-77.4322927,39.3324585
317,"Buckey's, Maryland",-76.6412712,39.0457549
318,"Buckeystown, Maryland",-77.4322927,39.3324585
319,"Buckfield, Maine",-70.3653359,44.2895134
320,"Buckfield, Massachusetts",-71.3824374,42.4072107
321,"Buckland, Massachusetts",-72.7917601,42.592307
322,"Bucksport, Maine",-68.7956215,44.5736942
323,"Bucksport, Massachusetts",-71.3824374,42.4072107
324,"Buckston, Massachusetts",-73.216972,42.713516
325,"Buckstown, Massachusetts",-71.3824374,42.4072107
326,"Buffalo, New York",-78.8783689,42.8864468
327,"Buffaloe, Pennsylvania",-79.7287703,40.7121522
328,"Burgetts, Pennsylvania",-76.6607061,41.2087164
329,"Burgettstown, Pennsylvania",-80.3928423,40.3820132
330,"Burke, Vermont",-71.9368346,44.618233
331,"Burlingnton, New York",-75.1254387,42.7228512
332,"Burlington, Connecticut",-72.9648388,41.7691235
333,"Burlington, Massachusetts",-71.1956205,42.5047161
334,"Burlington, New York",-75.1254387,42.7228512
335,"Burlington, Vermont",-73.212072,44.4758825
336,"Burnham, Maine",-69.4292308,44.6927723
337,"Burrillville, Rhode Island",-71.6847247,41.9661165
338,"Bushwick, New York",-73.9212858,40.6944282
339,"Bushwyck, New York",-73.9212858,40.6944282
340,"Bustleton, Pennsylvania",-75.0435916,40.0990803
341,"Bustletown, Pennsylvania",-75.0435916,40.0990803
342,"Buthwick, New York",-73.9212858,40.6944282
343,"Butterfield, Massachusetts",-72.310103,42.587528
344,"Butternut, New York",-75.30685,42.377228
345,"Butternuts, New York",-75.3178952,42.4773619
346,"Buxton, Maine",-70.5189422,43.6378583
347,"Buxton, Massachusetts",-70.9931595,42.5681843
348,"Byrd, Missouri",-89.6816208,37.4036603
349,"Cabot, Vermont",-72.3123248,44.4014456
